4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
4,1
4,1
4,1
4,1
3,1
4,1
3,1
4,1
3,1
4,1
3,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
3,1
3,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
3,0
42,0
75,0
83,0
84,0
82,0
81,0
78,0
76,0
73,0
72,0
70,0
69,0
67,0
66,0
65,0
63,0
62,0
60,0
59,0
59,0
57,0
56,0
56,0
54,0
54,0
53,0
53,0
51,0
50,0
50,0
49,0
48,0
47,0
47,0
45,0
45,0
44,0
44,0
43,0
42,0
41,1
42,1
41,1
41,1
40,1
39,1
39,1
39,1
39,1
38,1
38,1
38,1
37,1
37,1
37,1
36,1
36,1
36,1
35,1
36,1
36,1
35,1
35,1
35,1
34,1
34,1
34,1
34,1
34,1
34,1
33,1
33,1
34,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
32,1
32,1
32,1
32,1
31,1
32,1
33,1
33,1
31,1
32,1
32,1
32,1
32,1
31,1
31,1
32,1
31,1
32,1
31,1
31,1
32,1
31,1
32,1
32,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
32,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
31,1
31,1
30,1
31,1
31,1
30,1
31,1
31,1
31,1
30,1
30,1
30,1
31,1
31,1
30,1
31,1
31,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
31,1
31,1
30,1
31,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
31,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
33,1
34,1
31,1
30,1
30,1
30,1
30,1
29,1
30,1
30,1
30,1
22,1
10,1
5,1
4,1
3,1
4,1
4,1
4,1
4,1
3,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
5,1
4,1
3,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
5,0
3,0
4,0
4,0
4,0
4,0
5,0
4,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
62,0
77,0
81,0
80,0
78,0
77,0
75,0
73,0
72,0
70,0
68,0
66,0
64,0
63,0
62,0
61,0
59,0
60,0
58,0
57,0
55,0
55,0
55,0
54,0
53,0
52,0
51,0
50,0
50,0
49,0
48,0
47,1
47,1
47,1
46,1
45,1
45,1
44,1
43,1
42,1
43,1
41,1
41,1
40,1
39,1
41,1
40,1
39,1
39,1
38,1
38,1
38,1
38,1
37,1
37,1
38,1
36,1
36,1
36,1
36,1
36,1
36,1
35,1
35,1
35,1
34,1
35,1
35,1
34,1
34,1
34,1
34,1
34,1
33,1
34,1
34,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
31,1
32,1
31,1
32,1
31,1
30,1
31,1
32,1
32,1
32,1
31,1
31,1
31,1
32,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
30,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
29,1
30,1
30,1
30,1
30,1
29,1
29,1
31,1
29,1
30,1
30,1
29,1
30,1
29,1
30,1
29,1
30,1
29,1
29,1
30,1
30,1
29,1
29,1
29,1
30,1
29,1
29,1
30,1
30,1
30,1
30,1
30,1
30,1
29,1
29,1
29,1
13,1
7,1
5,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,0
4,0
4,0
5,0
4,0
3,0
4,0
4,0
3,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
41,0
69,0
77,0
77,0
75,0
74,0
72,0
69,0
68,0
67,0
66,0
64,0
62,0
61,0
61,0
60,0
59,0
58,0
57,0
57,0
56,0
55,0
54,1
53,1
52,1
51,1
51,1
50,1
50,1
49,1
47,1
47,1
46,1
47,1
45,1
45,1
44,1
43,1
43,1
43,1
42,1
41,1
41,1
41,1
41,1
40,1
39,1
39,1
39,1
38,1
38,1
37,1
38,1
37,1
37,1
37,1
37,1
36,1
36,1
36,1
35,1
35,1
36,1
35,1
36,1
34,1
35,1
35,1
35,1
34,1
34,1
34,1
33,1
34,1
33,1
34,1
33,1
34,1
33,1
33,1
34,1
33,1
33,1
33,1
32,1
33,1
32,1
32,1
33,1
33,1
31,1
32,1
32,1
31,1
31,1
32,1
32,1
32,1
31,1
32,1
31,1
32,1
32,1
31,1
31,1
31,1
31,1
31,1
30,1
30,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
32,1
31,1
31,1
30,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
31,1
31,1
31,1
31,1
30,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
29,1
30,1
30,1
29,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
29,1
30,1
29,1
30,1
30,1
30,1
29,1
29,1
29,1
29,1
29,1
29,1
21,1
9,1
5,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
4,1
4,1
5,1
4,1
4,1
4,1
3,1
4,1
4,1
4,1
4,1
4,1
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
14,0
65,0
78,0
81,0
79,0
77,0
76,0
74,0
71,0
69,0
69,0
66,0
65,0
64,0
62,0
61,0
60,0
59,0
58,0
57,0
57,0
56,0
55,0
54,0
53,0
53,0
51,0
50,0
50,0
49,0
49,0
48,0
47,0
46,0
46,0
45,0
45,0
43,1
44,1
44,1
43,1
41,1
42,1
41,1
41,1
40,1
39,1
39,1
39,1
38,1
38,1
38,1
38,1
38,1
37,1
36,1
36,1
36,1
37,1
35,1
35,1
36,1
35,1
35,1
34,1
34,1
34,1
34,1
35,1
34,1
34,1
34,1
34,1
34,1
33,1
34,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
33,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
31,1
31,1
32,1
31,1
31,1
31,1
32,1
32,1
31,1
31,1
32,1
32,1
32,1
31,1
31,1
31,1
32,1
32,1
31,1
31,1
32,1
32,1
32,1
31,1
31,1
32,1
31,1
31,1
31,1
31,1
31,1
32,1
32,1
31,1
31,1
30,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
30,1
30,1
31,1
30,1
30,1
31,1
31,1
31,1
30,1
31,1
31,1
30,1
30,1
31,1
30,1
30,1
31,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
31,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
13,1
6,1
5,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
3,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
48,0
74,0
80,0
80,0
78,0
77,0
75,0
73,0
71,0
69,0
68,0
66,0
65,0
64,0
63,0
62,0
60,0
59,0
58,0
58,0
56,0
56,0
54,0
53,0
52,1
52,1
51,1
51,1
50,1
49,1
48,1
48,1
47,1
47,1
46,1
45,1
45,1
45,1
43,1
42,1
42,1
40,1
42,1
41,1
40,1
41,1
40,1
40,1
39,1
38,1
39,1
39,1
38,1
38,1
38,1
37,1
37,1
37,1
36,1
36,1
36,1
36,1
36,1
35,1
36,1
36,1
35,1
35,1
34,1
35,1
35,1
34,1
34,1
34,1
34,1
34,1
34,1
33,1
33,1
34,1
33,1
33,1
33,1
33,1
34,1
33,1
33,1
32,1
33,1
33,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
31,1
32,1
32,1
32,1
32,1
32,1
32,1
31,1
32,1
32,1
31,1
32,1
31,1
32,1
32,1
31,1
31,1
32,1
32,1
32,1
31,1
31,1
31,1
31,1
32,1
31,1
31,1
32,1
32,1
32,1
32,1
32,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
31,1
32,1
31,1
31,1
31,1
31,1
30,1
31,1
31,1
32,1
31,1
30,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
30,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
30,1
30,1
30,1
31,1
31,1
30,1
31,1
30,1
30,1
30,1
31,1
30,1
31,1
31,1
30,1
30,1
30,1
30,1
30,1
20,1
9,1
5,1
4,1
5,1
3,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
5,0
3,0
5,0
4,0
3,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
3,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
18,0
67,0
79,0
81,0
81,0
79,0
77,0
75,0
73,0
72,0
69,0
67,0
66,0
64,0
63,0
62,0
62,0
61,0
59,0
57,0
57,0
56,0
56,0
54,0
54,0
52,0
51,0
50,0
49,0
50,0
48,0
48,0
47,0
46,0
46,0
46,0
45,0
44,0
44,0
44,0
45,0
43,0
42,0
41,0
40,0
41,0
40,0
40,0
39,0
39,0
39,0
39,0
38,0
38,0
37,0
37,0
37,0
37,0
37,0
36,0
36,0
36,0
36,0
35,0
36,0
35,0
36,0
35,0
35,0
34,0
35,0
34,0
34,0
33,0
35,0
34,0
34,0
34,0
34,0
33,0
33,0
33,0
34,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,0
33,1
33,1
33,1
33,1
33,1
33,1
31,1
32,1
32,1
31,1
32,1
33,1
33,1
32,1
32,1
32,1
32,1
32,1
33,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
31,1
31,1
32,1
32,1
32,1
32,1
31,1
32,1
31,1
32,1
32,1
32,1
31,1
31,1
32,1
32,1
31,1
32,1
31,1
31,1
32,1
32,1
31,1
32,1
32,1
32,1
31,1
31,1
31,1
31,1
31,1
32,1
32,1
31,1
31,1
32,1
32,1
31,1
31,1
32,1
32,1
31,1
31,1
31,1
32,1
32,1
30,1
30,1
30,1
30,1
31,1
31,1
31,1
30,1
30,1
30,1
31,1
32,1
31,1
31,1
31,1
32,1
31,1
31,1
30,1
31,1
30,1
31,1
31,1
30,1
12,1
7,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
5,1
4,1
4,1
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
4,0
3,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
